,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Average_Score,Score_Discrepancy,Score_Sales_Ratio
385,Rocky: Legends,XB,2004.0,Action,Ubisoft,0.07,0.02,0.0,0.0,0.1,67.0,21.0,5.2,6.0,Venom Games,T,59.5,15.0,595.0
386,Don King Boxing,DS,2009.0,Sports,Take-Two Interactive,0.06,0.01,0.0,0.01,0.08,71.0,4.0,7.8,5.0,Venom Games,T,74.5,7.0,931.25
387,Ninjatown,DS,2008.0,Strategy,SouthPeak Games,0.12,0.0,0.0,0.01,0.13,80.0,40.0,8.3,21.0,"Venan Entertainment, Cashmere Prod.",E,81.5,3.0,626.9230769230769
388,C.O.P.: The Recruit,DS,2009.0,Action,Ubisoft,0.05,0.02,0.0,0.01,0.08,55.0,38.0,7.5,13.0,Velez & Dubail,T,65.0,20.0,812.5
389,Silent Hill: Downpour,PS3,2012.0,Action,Konami Digital Entertainment,0.21,0.15,0.04,0.06,0.46,64.0,41.0,6.9,262.0,Vatra,M,66.5,5.0,144.56521739130434
390,Dragon's Crown,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.25,0.07,0.17,0.05,0.53,82.0,62.0,8.3,288.0,Vanillaware,T,82.5,1.0,155.66037735849056
391,Dragon's Crown,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.14,0.05,0.12,0.05,0.35,78.0,15.0,8.4,198.0,Vanillaware,T,81.0,6.0,231.42857142857144
392,Odin Sphere: Leifthrasir,PS4,2016.0,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2,87.0,49.0,8.2,178.0,Vanillaware,T,84.5,5.0,422.5
393,Muramasa: The Demon Blade,Wii,2009.0,Role-Playing,Rising Star Games,0.32,0.12,0.11,0.04,0.6,81.0,58.0,8.7,101.0,Vanillaware,T,84.0,6.0,140.0
394,Odin Sphere: Leifthrasir,PSV,2016.0,Role-Playing,Nippon Ichi Software,0.02,0.02,0.09,0.01,0.14,93.0,5.0,7.9,83.0,Vanillaware,T,86.0,14.0,614.2857142857142
395,Odin Sphere,PS2,2007.0,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56,83.0,49.0,8.6,59.0,Vanilla Ware,T,84.5,3.0,150.89285714285714
396,GrimGrimoire,PS2,2007.0,Strategy,Tecmo Koei,0.01,0.01,0.03,0.0,0.05,79.0,39.0,7.9,17.0,Vanilla Ware,E10+,79.0,0.0,1580.0
397,Trauma Center: Under the Knife 2,DS,2008.0,Simulation,Atlus,0.1,0.0,0.0,0.01,0.11,79.0,29.0,8.5,11.0,Vanguard,T,82.0,6.0,745.4545454545455
398,Counter-Strike: Source,PC,2004.0,Shooter,Vivendi Games,0.0,0.07,0.0,0.02,0.08,88.0,9.0,8.9,9851.0,Valve Software,M,88.5,1.0,1106.25
399,Half-Life 2,PC,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,96.0,81.0,9.1,8665.0,Valve Software,M,93.5,5.0,39.45147679324894
400,Portal 2,PC,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.1,0.76,95.0,52.0,8.8,5999.0,Valve Software,E10+,91.5,7.0,120.39473684210526
401,Left 4 Dead,PC,2008.0,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.02,89.0,58.0,9.2,3717.0,Valve Software,M,90.5,3.0,4525.0
402,Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,96.0,24.0,9.1,3161.0,Valve Software,M,93.5,5.0,22.69417475728155
403,Left 4 Dead 2,PC,2009.0,Shooter,Valve Software,0.0,0.32,0.0,0.04,0.36,89.0,55.0,8.5,2530.0,Valve Software,M,87.0,4.0,241.66666666666669
404,The Orange Box,PC,2007.0,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14,96.0,34.0,9.3,1495.0,Valve Software,M,94.5,3.0,674.9999999999999
405,Portal 2,X360,2011.0,Shooter,Valve Software,1.41,0.49,0.01,0.17,2.08,95.0,66.0,8.5,997.0,Valve Software,E10+,90.0,10.0,43.26923076923077
406,Portal 2,PS3,2011.0,Shooter,Valve,0.83,0.6,0.02,0.24,1.7,95.0,54.0,8.4,937.0,Valve Software,E10+,89.5,11.0,52.64705882352941
407,The Orange Box,X360,2007.0,Shooter,Electronic Arts,1.09,0.53,0.02,0.17,1.82,96.0,54.0,8.9,797.0,Valve Software,M,92.5,7.0,50.824175824175825
408,Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,2.67,0.87,0.05,0.38,3.97,89.0,76.0,8.6,681.0,Valve Software,M,87.5,3.0,22.040302267002517
409,Half-Life 2,XB,2005.0,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61,90.0,35.0,8.6,115.0,Valve Software,M,88.0,4.0,144.2622950819672
410,Counter-Strike,XB,2003.0,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11,74.0,38.0,7.6,51.0,Valve Software,M,75.0,2.0,67.56756756756756
411,The Haunted: Hell's Reach,PC,2011.0,Shooter,Visco,0.02,0.0,0.0,0.0,0.02,51.0,8.0,7.6,47.0,ValuSoft,M,63.5,25.0,3175.0
412,Emergency 2012,PC,2010.0,Simulation,Deep Silver,0.02,0.04,0.0,0.01,0.07,61.0,9.0,6.2,12.0,ValuSoft,T,61.5,1.0,878.5714285714284
413,Mega Man X8,PS2,2004.0,Platform,Capcom,0.14,0.11,0.0,0.04,0.29,68.0,23.0,8.5,63.0,"Valuewave Co.,Ltd.",E,76.5,17.0,263.7931034482759
414,Mega Man X7,PS2,2003.0,Action,Capcom,0.22,0.17,0.14,0.06,0.58,58.0,30.0,5.1,38.0,"Valuewave Co.,Ltd.",E,54.5,7.0,93.96551724137932
415,Mega Man X: Command Mission,PS2,2004.0,Role-Playing,Capcom,0.09,0.07,0.0,0.02,0.18,69.0,27.0,7.1,18.0,"Valuewave Co.,Ltd.",E,70.0,2.0,388.8888888888889
416,Devil's Third,WiiU,2015.0,Action,Nintendo,0.04,0.02,0.0,0.01,0.06,43.0,54.0,6.5,283.0,Valhalla Game Studios,M,54.0,22.0,900.0
417,Sleeping Dogs,PC,2012.0,Action,Square Enix ,0.06,0.05,0.0,0.01,0.12,81.0,23.0,8.2,1209.0,United Front Games,M,81.5,1.0,679.1666666666667
418,Sleeping Dogs,PS3,2012.0,Action,Square Enix,0.31,0.49,0.05,0.19,1.04,83.0,40.0,7.7,645.0,United Front Games,M,80.0,6.0,76.92307692307692
419,Sleeping Dogs,X360,2012.0,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87,80.0,47.0,7.9,468.0,United Front Games,M,79.5,1.0,91.37931034482759
420,ModNation Racers,PS3,2010.0,Racing,Sony Computer Entertainment,0.5,0.4,0.06,0.16,1.12,82.0,85.0,8.4,201.0,United Front Games,E,83.0,2.0,74.10714285714285
421,Rez,PS2,2001.0,Shooter,Sony Computer Entertainment,0.03,0.02,0.0,0.01,0.05,78.0,34.0,8.3,28.0,UGA,E,80.5,5.0,1610.0
422,Space Channel 5 Special Edition,PS2,2003.0,Misc,Agetec,0.04,0.03,0.0,0.01,0.08,79.0,16.0,8.6,10.0,UGA,T,82.5,7.0,1031.25
423,Futurama,XB,2003.0,Platform,SCi,0.03,0.01,0.0,0.0,0.05,58.0,21.0,6.9,14.0,UDS,T,63.5,11.0,1270.0
424,Futurama,PS2,2003.0,Platform,SCi,0.04,0.03,0.0,0.01,0.07,59.0,22.0,6.6,14.0,UDS,T,62.5,7.0,892.8571428571428
425,World's Scariest Police Chases,PS,2001.0,Racing,Activision,0.2,0.14,0.0,0.02,0.36,54.0,16.0,6.3,4.0,UDS,T,58.5,9.0,162.5
426,Rayman Origins,PC,2012.0,Platform,Ubisoft,0.0,0.06,0.0,0.01,0.08,86.0,11.0,8.4,337.0,UBlart Montpellier,E10+,85.0,2.0,1062.5
427,Rayman Origins,PSV,2012.0,Platform,Ubisoft,0.12,0.33,0.0,0.09,0.54,88.0,54.0,8.4,298.0,UBlart Montpellier,E10+,86.0,4.0,159.25925925925924
428,Rayman Origins,PS3,2011.0,Platform,Ubisoft,0.33,0.49,0.01,0.17,1.0,87.0,43.0,8.4,238.0,UBlart Montpellier,E10+,85.5,3.0,85.5
429,Rayman Origins,X360,2011.0,Platform,Ubisoft,0.38,0.32,0.0,0.08,0.78,87.0,55.0,8.2,209.0,UBlart Montpellier,E10+,84.5,5.0,108.33333333333333
430,Rayman Origins,Wii,2011.0,Platform,Ubisoft,0.21,0.27,0.0,0.06,0.55,92.0,13.0,8.3,127.0,UBlart Montpellier,E10+,87.5,9.0,159.09090909090907
431,Rayman Origins,3DS,2012.0,Platform,Ubisoft,0.06,0.08,0.0,0.01,0.15,71.0,8.0,6.3,65.0,UBlart Montpellier,E10+,67.0,8.0,446.6666666666667
432,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.0,40.0,4.9,2050.0,"Ubisoft, Ubisoft Montreal",M,59.5,21.0,15.025252525252526
433,Assassin's Creed: Unity,PC,2014.0,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55,70.0,10.0,3.0,1463.0,"Ubisoft, Ubisoft Montreal",M,50.0,40.0,90.9090909090909
434,Assassin's Creed: Unity,XOne,2014.0,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5,72.0,59.0,4.1,1005.0,"Ubisoft, Ubisoft Montreal",M,56.5,31.0,16.142857142857142
435,My Japanese Coach,DS,2008.0,Misc,Ubisoft,0.24,0.0,0.0,0.02,0.27,59.0,4.0,6.7,6.0,"Ubisoft, Sensory Sweep",E,63.0,8.0,233.33333333333331
436,Eagle Flight,PS4,2016.0,Adventure,Ubisoft,0.01,0.05,0.0,0.01,0.07,72.0,31.0,7.8,22.0,"Ubisoft, FunHouse",E10+,75.0,6.0,1071.4285714285713
437,Pure Futbol,PS3,2010.0,Sports,Ubisoft,0.06,0.13,0.0,0.04,0.24,46.0,12.0,7.5,30.0,Ubisoft Vancouver,E,60.5,29.0,252.08333333333334
438,Pure Futbol,X360,2010.0,Sports,Ubisoft,0.08,0.08,0.0,0.02,0.18,38.0,20.0,7.9,29.0,Ubisoft Vancouver,E,58.5,41.0,325.0
439,Academy of Champions: Soccer,Wii,2009.0,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,64.0,20.0,6.8,14.0,Ubisoft Vancouver,E,66.0,4.0,550.0
440,MotionSports: Adrenaline,X360,2011.0,Sports,Ubisoft,0.14,0.1,0.0,0.03,0.27,41.0,8.0,7.4,7.0,Ubisoft Vancouver,E,57.5,33.0,212.96296296296296
441,Tom Clancy's Splinter Cell: Blacklist,PC,2013.0,Action,Ubisoft,0.04,0.13,0.0,0.01,0.19,82.0,13.0,7.4,754.0,Ubisoft Toronto,M,78.0,8.0,410.5263157894737
442,Tom Clancy's Splinter Cell: Blacklist,X360,2013.0,Action,Ubisoft,0.57,0.32,0.01,0.08,0.98,82.0,58.0,7.5,383.0,Ubisoft Toronto,M,78.5,7.0,80.10204081632654
443,Tom Clancy's Splinter Cell: Blacklist,PS3,2013.0,Action,Ubisoft,0.34,0.39,0.06,0.15,0.94,84.0,27.0,7.7,314.0,Ubisoft Toronto,M,80.5,7.0,85.63829787234043
444,Tom Clancy's Splinter Cell: Blacklist,WiiU,2013.0,Action,Ubisoft,0.04,0.07,0.0,0.01,0.12,75.0,5.0,7.8,148.0,Ubisoft Toronto,M,76.5,3.0,637.5
445,Assassin's Creed: Rogue,PS3,2014.0,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72.0,53.0,7.5,292.0,Ubisoft Sofia,M,73.5,3.0,56.97674418604651
446,Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,58.0,21.0,6.0,19.0,Ubisoft Shanghai/Paris,T,59.0,2.0,54.629629629629626
447,Tom Clancy's Splinter Cell: Double Agent,X360,2006.0,Action,Ubisoft,0.67,0.04,0.01,0.06,0.78,85.0,59.0,8.1,148.0,Ubisoft Shanghai,M,83.0,4.0,106.41025641025641
448,Tom Clancy's Splinter Cell,PS2,2003.0,Action,Ubisoft,1.15,1.11,0.0,0.4,2.65,89.0,24.0,7.7,102.0,Ubisoft Shanghai,T,83.0,12.0,31.320754716981135
449,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004.0,Action,Ubisoft,0.82,0.59,0.0,0.07,1.48,93.0,74.0,8.6,68.0,Ubisoft Shanghai,T,89.5,7.0,60.472972972972975
450,Brothers In Arms: D-Day,PSP,2006.0,Shooter,Ubisoft,0.23,0.14,0.0,0.09,0.46,65.0,19.0,9.1,64.0,Ubisoft Shanghai,M,78.0,26.0,169.56521739130434
451,Tom Clancy's EndWar,X360,2008.0,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,77.0,63.0,7.2,53.0,Ubisoft Shanghai,T,74.5,5.0,81.86813186813187
452,Tom Clancy's EndWar,PC,2009.0,Strategy,Ubisoft,0.0,0.02,0.0,0.0,0.02,68.0,24.0,6.7,42.0,Ubisoft Shanghai,T,67.5,1.0,3375.0
453,Tom Clancy's EndWar,PS3,2008.0,Strategy,Ubisoft,0.33,0.22,0.01,0.1,0.66,76.0,33.0,6.6,42.0,Ubisoft Shanghai,T,71.0,10.0,107.57575757575756
454,Tom Clancy's Splinter Cell: Double Agent,PS3,2007.0,Action,Ubisoft,0.2,0.03,0.0,0.03,0.26,78.0,17.0,6.5,41.0,Ubisoft Shanghai,M,71.5,13.0,275.0
455,Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,2006.0,Shooter,Ubisoft,0.03,0.02,0.0,0.01,0.06,44.0,8.0,4.6,41.0,Ubisoft Shanghai,T,45.0,2.0,750.0
456,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004.0,Action,Ubisoft,0.52,0.56,0.0,0.17,1.25,87.0,45.0,8.6,34.0,Ubisoft Shanghai,T,86.5,1.0,69.2
457,Beowulf: The Game,X360,2007.0,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4,51.0,23.0,4.7,30.0,Ubisoft Shanghai,M,49.0,4.0,122.5
458,Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006.0,Shooter,Ubisoft,0.21,0.11,0.0,0.01,0.33,66.0,14.0,6.0,27.0,Ubisoft Shanghai,T,63.0,6.0,190.9090909090909
459,Tom Clancy's Splinter Cell,GC,2003.0,Action,Ubisoft,0.18,0.05,0.0,0.01,0.23,89.0,19.0,8.7,25.0,Ubisoft Shanghai,T,88.0,2.0,382.6086956521739
460,Rayman 3: Hoodlum Havoc,GC,2003.0,Platform,Ubisoft,0.05,0.01,0.0,0.0,0.07,77.0,24.0,8.3,21.0,Ubisoft Shanghai,E,80.0,6.0,1142.8571428571427
461,Tom Clancy's Rainbow Six 3,PS2,2004.0,Shooter,Ubisoft,0.4,0.31,0.0,0.1,0.81,70.0,34.0,8.2,17.0,Ubisoft Shanghai,M,76.0,12.0,93.82716049382715
462,Tom Clancy's Splinter Cell: Double Agent,Wii,2006.0,Action,Ubisoft,0.1,0.01,0.0,0.01,0.13,61.0,12.0,7.4,16.0,Ubisoft Shanghai,M,67.5,13.0,519.2307692307692
463,Cloudy With a Chance of Meatballs,X360,2009.0,Platform,Ubisoft,0.07,0.0,0.0,0.01,0.09,62.0,12.0,6.5,11.0,Ubisoft Shanghai,E,63.5,3.0,705.5555555555555
464,Tom Clancy's Ghost Recon 2,GC,2005.0,Shooter,Ubisoft,0.06,0.01,0.0,0.0,0.07,54.0,10.0,1.4,11.0,Ubisoft Shanghai,T,34.0,40.0,485.71428571428567
465,Disney's Donald Duck: Goin' Quackers,PS,2000.0,Platform,Ubisoft,0.08,0.06,0.0,0.01,0.15,65.0,4.0,7.0,10.0,Ubisoft Shanghai,E,67.5,5.0,450.0
466,Tom Clancy's Rainbow Six 3,GC,2004.0,Shooter,Ubisoft,0.04,0.01,0.0,0.0,0.06,68.0,25.0,8.2,5.0,Ubisoft Shanghai,M,75.0,14.0,1250.0
467,Cloudy With a Chance of Meatballs,PS3,2009.0,Platform,Ubisoft,0.09,0.01,0.0,0.01,0.1,66.0,9.0,6.0,5.0,Ubisoft Shanghai,E,63.0,6.0,630.0
468,The Sum of All Fears,GC,2003.0,Shooter,Ubisoft,0.03,0.01,0.0,0.0,0.03,36.0,11.0,3.4,5.0,Ubisoft Shanghai,T,35.0,2.0,1166.6666666666667
469,Cloudy With a Chance of Meatballs,Wii,2009.0,Platform,Ubisoft,0.1,0.0,0.0,0.01,0.11,68.0,4.0,5.3,4.0,Ubisoft Shanghai,E,60.5,15.0,550.0
470,Watch Dogs,WiiU,2014.0,Action,Ubisoft,0.07,0.05,0.0,0.01,0.13,62.0,15.0,6.4,162.0,Ubisoft Romania,M,63.0,2.0,484.6153846153846
471,Tom Clancy's HAWX,PC,2009.0,Action,Ubisoft,0.0,0.03,0.0,0.01,0.04,70.0,23.0,7.3,125.0,Ubisoft Romania,T,71.5,3.0,1787.5
472,Silent Hunter 5: Battle of the Atlantic,PC,2010.0,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.25,62.0,26.0,3.5,104.0,Ubisoft Romania,T,48.5,27.0,194.0
473,Tom Clancy's HAWX,X360,2009.0,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58,73.0,64.0,7.3,51.0,Ubisoft Romania,T,73.0,0.0,125.86206896551725
474,Silent Hunter: Wolves of the Pacific,PC,2007.0,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.05,79.0,22.0,6.9,40.0,Ubisoft Romania,T,74.0,10.0,1480.0
475,Tom Clancy's HAWX,PS3,2009.0,Action,Ubisoft,0.21,0.22,0.05,0.09,0.56,74.0,35.0,8.1,39.0,Ubisoft Romania,T,77.5,7.0,138.39285714285714
476,Blazing Angels: Squadrons of WWII,PC,2006.0,Simulation,Ubisoft,0.02,0.0,0.0,0.0,0.02,65.0,16.0,4.6,17.0,Ubisoft Romania,T,55.5,19.0,2775.0
477,Chessmaster,PS2,2003.0,Misc,Ubisoft,0.19,0.15,0.0,0.05,0.39,79.0,9.0,7.3,13.0,Ubisoft Romania,E,76.0,6.0,194.87179487179486
478,Blazing Angels 2: Secret Missions of WWII,X360,2007.0,Simulation,Ubisoft,0.11,0.02,0.0,0.01,0.14,72.0,24.0,7.8,12.0,Ubisoft Romania,T,75.0,6.0,535.7142857142857
479,Blazing Angels 2: Secret Missions of WWII,PS3,2007.0,Simulation,Ubisoft,0.1,0.03,0.0,0.02,0.15,70.0,10.0,7.2,12.0,Ubisoft Romania,T,71.0,2.0,473.33333333333337
480,Blazing Angels: Squadrons of WWII,XB,2006.0,Simulation,Ubisoft,0.06,0.02,0.0,0.0,0.08,69.0,19.0,6.8,4.0,Ubisoft Romania,T,68.5,1.0,856.25
481,The Crew,PS4,2014.0,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61.0,60.0,5.4,575.0,"Ubisoft Reflections, Ivory Tower",T,57.5,7.0,33.43023255813954
482,The Crew,PC,2014.0,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16,71.0,12.0,6.4,463.0,"Ubisoft Reflections, Ivory Tower",T,67.5,7.0,421.875
483,The Crew,XOne,2014.0,Racing,Ubisoft,0.25,0.34,0.0,0.05,0.64,64.0,18.0,5.9,176.0,"Ubisoft Reflections, Ivory Tower",T,61.5,5.0,96.09375
484,Driver: San Francisco,PC,2011.0,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18,80.0,11.0,7.0,332.0,Ubisoft Reflections,T,75.0,10.0,416.6666666666667
485,Driver: San Francisco,X360,2011.0,Racing,Ubisoft,0.25,0.37,0.0,0.07,0.7,80.0,63.0,7.6,130.0,Ubisoft Reflections,T,78.0,4.0,111.42857142857143
486,Driver: San Francisco,PS3,2011.0,Racing,Ubisoft,0.24,0.52,0.01,0.18,0.95,79.0,53.0,7.7,114.0,Ubisoft Reflections,T,78.0,2.0,82.10526315789474
487,Driver: San Francisco,Wii,2011.0,Racing,Ubisoft,0.06,0.09,0.0,0.02,0.16,64.0,7.0,6.2,10.0,Ubisoft Reflections,T,63.0,2.0,393.75
488,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.0,86.0,6.8,1319.0,Ubisoft Quebec,M,72.0,8.0,21.238938053097343
489,Assassin's Creed Syndicate,PC,2015.0,Action,Ubisoft,0.11,0.09,0.0,0.02,0.21,74.0,14.0,5.9,544.0,Ubisoft Quebec,M,66.5,15.0,316.6666666666667
490,Assassin's Creed Syndicate,XOne,2015.0,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,Ubisoft Quebec,M,69.5,17.0,53.46153846153846
491,Assassin's Creed III,WiiU,2012.0,Action,Ubisoft,0.19,0.13,0.0,0.03,0.35,85.0,26.0,7.1,216.0,Ubisoft Quebec,M,78.0,14.0,222.85714285714286
492,Prince of Persia: The Forgotten Sands,Wii,2010.0,Action,Ubisoft,0.1,0.11,0.0,0.02,0.23,77.0,24.0,8.1,31.0,Ubisoft Quebec,T,79.0,4.0,343.4782608695652
493,Marvel Avengers: Battle for Earth,WiiU,2012.0,Action,Ubisoft,0.06,0.04,0.0,0.01,0.12,50.0,10.0,5.0,25.0,Ubisoft Quebec,T,50.0,0.0,416.6666666666667
494,Prince of Persia: The Forgotten Sands,PSP,2010.0,Action,Ubisoft,0.09,0.18,0.01,0.1,0.37,65.0,10.0,7.4,14.0,Ubisoft Quebec,T,69.5,9.0,187.83783783783784
495,Cranium Kabookii,Wii,2007.0,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.14,64.0,9.0,5.4,13.0,Ubisoft Quebec,E,59.0,10.0,421.4285714285714
496,Marvel Avengers: Battle for Earth,X360,2012.0,Action,Ubisoft,0.02,0.0,0.0,0.0,0.02,62.0,11.0,7.3,12.0,Ubisoft Quebec,T,67.5,11.0,3375.0
497,TMNT,DS,2007.0,Action,Ubisoft,0.03,0.01,0.0,0.0,0.04,42.0,10.0,2.2,5.0,Ubisoft Quebec,E10+,32.0,20.0,800.0
498,Surf's Up,DS,2007.0,Sports,Ubisoft,0.26,0.0,0.0,0.02,0.28,56.0,5.0,7.0,4.0,Ubisoft Quebec,E,63.0,14.0,224.99999999999997
499,Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,69.5,27.0,15.940366972477063
500,Rayman Raving Rabbids: TV Party,Wii,2008.0,Misc,Ubisoft,0.72,1.08,0.0,0.23,2.03,73.0,24.0,7.7,29.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,75.0,4.0,36.94581280788178
501,Tom Clancy's Ghost Recon: Future Soldier,PC,2012.0,Shooter,Ubisoft,0.05,0.1,0.0,0.02,0.17,71.0,13.0,4.9,368.0,Ubisoft Paris,M,60.0,22.0,352.94117647058823
502,Tom Clancy's Ghost Recon: Future Soldier,X360,2012.0,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.47,79.0,75.0,7.2,334.0,Ubisoft Paris,M,75.5,7.0,51.36054421768708
503,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006.0,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54,90.0,78.0,8.0,215.0,Ubisoft Paris,T,85.0,10.0,55.19480519480519
504,Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.35,0.2,0.01,0.06,0.62,80.0,73.0,8.6,178.0,Ubisoft Paris,T,83.0,6.0,133.8709677419355
505,Tom Clancy's Ghost Recon: Future Soldier,PS3,2012.0,Shooter,Ubisoft,0.41,0.32,0.09,0.12,0.95,79.0,18.0,6.9,156.0,Ubisoft Paris,M,74.0,10.0,77.89473684210526
506,Red Steel,Wii,2006.0,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54.0,6.8,121.0,Ubisoft Paris,T,65.5,5.0,97.76119402985074
507,Just Dance,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,64.5,31.0,8.958333333333334
508,Just Dance 4,WiiU,2012.0,Misc,Ubisoft,0.21,0.13,0.0,0.03,0.37,66.0,14.0,7.8,37.0,Ubisoft Paris,E10+,72.0,12.0,194.5945945945946
509,XIII,PS2,2003.0,Shooter,Ubisoft,0.28,0.22,0.0,0.07,0.57,73.0,37.0,8.6,35.0,Ubisoft Paris,M,79.5,13.0,139.47368421052633
510,Rabbids Land,WiiU,2012.0,Misc,Ubisoft,0.01,0.01,0.0,0.0,0.03,52.0,26.0,5.2,29.0,Ubisoft Paris,E10+,52.0,0.0,1733.3333333333335
511,XIII,GC,2003.0,Shooter,Ubisoft,0.07,0.02,0.0,0.0,0.09,73.0,27.0,7.7,20.0,Ubisoft Paris,M,75.0,4.0,833.3333333333334
512,Rayman Raving Rabbids 2,DS,2007.0,Misc,Ubisoft,0.73,0.01,0.0,0.06,0.8,57.0,8.0,7.0,15.0,Ubisoft Paris,E10+,63.5,13.0,79.375
513,187: Ride or Die,XB,2005.0,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51.0,40.0,6.9,8.0,Ubisoft Paris,M,60.0,18.0,1000.0
514,Just Dance 2017,XOne,2016.0,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.04,75.0,5.0,8.0,6.0,Ubisoft Paris,E10+,77.5,5.0,1937.5
515,Gravity Falls: Legend of the Gnome Gemulets,3DS,2015.0,Action,Ubisoft,0.03,0.0,0.0,0.0,0.04,46.0,4.0,5.8,10.0,Ubisoft Osaka,E,52.0,12.0,1300.0
516,Watch Dogs,PC,2014.0,Action,Ubisoft,0.15,0.26,0.0,0.03,0.45,77.0,18.0,4.7,3288.0,Ubisoft Montreal,M,62.0,30.0,137.77777777777777
517,Far Cry 3,PC,2012.0,Shooter,Ubisoft,0.22,0.62,0.0,0.12,0.96,88.0,43.0,8.2,3183.0,Ubisoft Montreal,M,85.0,6.0,88.54166666666667
518,Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80.0,80.0,6.3,2996.0,Ubisoft Montreal,M,71.5,17.0,17.654320987654323
519,Far Cry 4,PS4,2014.0,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85.0,83.0,7.7,1653.0,Ubisoft Montreal,M,81.0,8.0,20.04950495049505
520,Assassin's Creed II,PC,2010.0,Action,Ubisoft,0.01,0.45,0.0,0.09,0.55,86.0,22.0,6.9,1611.0,Ubisoft Montreal,M,77.5,17.0,140.9090909090909
521,Far Cry 2,PC,2008.0,Action,Ubisoft,0.01,0.45,0.0,0.03,0.48,85.0,34.0,5.8,1345.0,Ubisoft Montreal,M,71.5,27.0,148.95833333333334
522,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M,89.0,2.0,16.920152091254753
523,Far Cry 3,X360,2012.0,Shooter,Ubisoft,1.38,1.32,0.02,0.28,3.0,91.0,39.0,8.6,1247.0,Ubisoft Montreal,M,88.5,5.0,29.5
524,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,88.5,5.0,15.945945945945946
525,Assassin's Creed: Brotherhood,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,88.0,24.0,8.2,1102.0,Ubisoft Montreal,M,85.0,6.0,144.0677966101695
